name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Parkside Dental Care,"37 Newbury St #3, Boston, MA 02116, United States",https://www.parksidedentalboston.com,+1 617-426-5549,,4.8,42.35243,-71.1091559
Somerville Pediatric Dentistry,"51 Cross St, Somerville, MA 02145, United States",https://www.somervillepediatricdental.com,+1 617-224-0018,,4.6,42.386374,-71.1236244
South Boston Dental Group,"9 Channel Center St, Boston, MA 02210, United States",https://www.southbostondental.com,+1 617-268-1030,,4.9,42.3453352,-71.0876643
Dental Health and Wellness Boston,"31 State St 7th Floor, Boston, MA 02109, United States",https://www.dentalhealthandwellnessboston.com,+1 617-742-1220,,4.9,42.3453352,-71.0876643
Dental Partners of Boston - Fort Point,"46 Farnsworth St, Boston, MA 02210, United States",https://www.dentalpartnersofboston.com,+1 617-752-7752,,4.8,42.3453352,-71.0876643
Faneuil Hall Dental Associates,"1 McKinley Square Lobby B, Boston, MA 02109, United States",https://www.fhdental.com,+1 617-523-4444,,5.0,42.3453352,-71.0876643
Boston Dental,"36 Chauncy St, Boston, MA 02111, United States",https://www.bostondental.com,+1 617-338-5000,,4.9,42.3453352,-71.0876643
Seaport Dental Associates Boston,"451 D St #200, Boston, MA 02210, United States",https://www.seaportdental.com,+1 617-737-6453,,4.9,42.3453352,-71.0876643
Dental Associates of New England,"585 Boylston St # 2, Boston, MA 02116, United States",https://www.bostonsmile.com,+1 857-349-2131,,4.9,42.350423,-71.1129472
Boston Dental,"22 Boston Wharf Rd, Boston, MA 02210, United States",https://www.bostondental.com,+1 617-706-5000,,4.9,42.3503024,-71.082766
Dental Arts of Boston,"26 Marlborough St, Boston, MA 02116, United States",https://www.bostoncosmeticdentistma.com,+1 617-266-0441,,4.9,42.354032,-71.1095683
South Boston Family Dental,"591 E Broadway, Boston, MA 02127, United States",https://www.southbostonfamilydental.com,+1 617-268-5638,,4.8,42.3354331,-71.0766641
Devonshire Dental of Boston,"185 Devonshire St STE 410, Boston, MA 02110, United States",https://www.devonshiredental.net,+1 617-350-7474,,5.0,42.3559346,-71.0936128
Boston Dental,"35 Court St, Boston, MA 02108, United States",https://www.bostondental.com,+1 617-402-5000,,5.0,42.3559346,-71.0936128
Warshauer & Santamaria Boston Dentists,"396 Commonwealth Ave 2nd floor, Boston, MA 02215, United States",https://www.backbaybostondentist.com,+1 617-437-1520,,4.8,42.348674,-71.1265169
Boston Teeth Associates,"359 Boylston St, Boston, MA 02116, United States",https://www.bostonteeth.com,+1 617-262-1422,,5.0,42.3519619,-71.1076676
New England Dental Group,"811 Boylston St 3rd floor, Boston, MA 02116, United States",https://www.newenglanddentalgroup.com,+1 617-267-3993,,4.9,42.3519619,-71.1076676
Dental Partners of Boston at Prudential Center,"800 Boylston St 2nd floor, Boston, MA 02199, United States",https://www.dentalpartnersofboston.com,+1 617-829-9744,,4.7,42.3519619,-71.1076676
CITIDental,"63 Court St, Boston, MA 02108, United States",https://www.citidentalboston.com,+1 617-723-6300,,4.5,42.3519619,-71.1076676
East Boston Dental Associates,"3 Meridian St, Boston, MA 02128, United States",,+1 617-569-7300,,4.7,42.3703284,-71.074828
Oliver Dental Associates,"295 Devonshire St # 301, Boston, MA 02110, United States",https://www.godental365.com,+1 617-350-7774,,5.0,42.353963,-71.0940539
Dental Partners of Boston at Charles River,"50 Staniford St #303, Boston, MA 02114, United States",https://www.dentalpartnersofboston.com,+1 617-812-2071,,4.7,42.353963,-71.0940539
Smileboston Cosmetic and Implant Dentistry,"1180 Beacon St #2b, Brookline, MA 02446, United States",https://www.smileboston.com,+1 617-277-4100,,4.9,42.3443225,-71.1507742
Brush & Floss Boston Dental,"2489 Washington St, Boston, MA 02119, United States",https://www.brushandflossboston.com,+1 617-340-7220,,4.8,42.3282849,-71.1227536
AP Dental Center,"231 Border St B, Boston, MA 02128, United States",https://www.apdentalcenter.com,+1 617-315-1515,,4.8,42.3760392,-71.0756813
Dental Esthetics Boston | Hirayama & Papaspyridakos,"745 Boylston St #403, Boston, MA 02116, United States",https://www.dentalestheticsboston.com,+1 617-536-3054,,4.9,42.3495194,-71.1166354
The Dental Group at Post Office Square,"3 Post Office Square 9th Floor, Boston, MA 02109, United States",https://www.godental365.com,+1 617-426-6011,,4.9,42.3566681,-71.0925362
Mass Dental Associates,"1313 Washington St, Boston, MA 02118, United States",https://www.massdentalassociates.net,+1 617-859-3939,,4.4,42.3566681,-71.0925362
Dental Care at South Boston Community Health Center,"Dental Department, 386 W Broadway, Boston, MA 02127, United States",https://www.sbchc.org,+1 617-464-5825,,4.4,42.3566681,-71.0925362
Brito Family Dental,"272 W Broadway, Boston, MA 02127, United States",https://www.britofamilydental.com,+1 617-766-8496,,4.9,42.3566681,-71.0925362
Newbury Dental Associates,"274 Newbury St, Boston, MA 02116, United States",https://www.gentledental.com,+1 617-514-2895,,4.7,42.3491186,-71.1195547
CITIDental South Boston,"141 Dorchester Ave, Boston, MA 02127, United States",https://www.citidentalsouthboston.com,+1 617-482-7300,,4.8,42.342108,-71.0933868
Boston Center for Oral Health,"400 Commonwealth Ave #104B, Boston, MA 02215, United States",,+1 617-536-4620,,4.9,42.3485552,-71.1268618
